Port,Status,Service
319,CLOSED,-
320,CLOSED,-
321,CLOSED,-
322,CLOSED,-
323,CLOSED,-
324,CLOSED,-
325,CLOSED,-
326,CLOSED,-
327,CLOSED,-
328,CLOSED,-
329,CLOSED,-
330,CLOSED,-
331,CLOSED,-
332,CLOSED,-
333,CLOSED,-
334,CLOSED,-
335,CLOSED,-
336,CLOSED,-
337,CLOSED,-
338,CLOSED,-
339,CLOSED,-
340,CLOSED,-
341,CLOSED,-
342,CLOSED,-
343,CLOSED,-
344,CLOSED,-
345,CLOSED,-
346,CLOSED,-
347,CLOSED,-
348,CLOSED,-
349,CLOSED,-
350,CLOSED,-
351,CLOSED,-
352,CLOSED,-
353,CLOSED,-
354,CLOSED,-
355,CLOSED,-
356,CLOSED,-
357,CLOSED,-
358,CLOSED,-
359,CLOSED,-
360,CLOSED,-
361,CLOSED,-
362,CLOSED,-
363,CLOSED,-
364,CLOSED,-
365,CLOSED,-
366,CLOSED,-
367,CLOSED,-
368,CLOSED,-
369,CLOSED,-
370,CLOSED,-
371,CLOSED,-
372,CLOSED,-
373,CLOSED,-
374,CLOSED,-
375,CLOSED,-
376,CLOSED,-
377,CLOSED,-
378,CLOSED,-
379,CLOSED,-
380,CLOSED,-
381,CLOSED,-
382,CLOSED,-
383,CLOSED,-
384,CLOSED,-
385,CLOSED,-
386,CLOSED,-
387,CLOSED,-
388,CLOSED,-
389,CLOSED,-
390,CLOSED,-
391,CLOSED,-
392,CLOSED,-
393,CLOSED,-
394,CLOSED,-
395,CLOSED,-
396,CLOSED,-
397,CLOSED,-
398,CLOSED,-
399,CLOSED,-
400,CLOSED,-
401,CLOSED,-
402,CLOSED,-
403,CLOSED,-
404,CLOSED,-
405,CLOSED,-
406,CLOSED,-
407,CLOSED,-
408,CLOSED,-
409,CLOSED,-
410,CLOSED,-
411,CLOSED,-
412,CLOSED,-
413,CLOSED,-
414,CLOSED,-
415,CLOSED,-
416,CLOSED,-
417,CLOSED,-
418,CLOSED,-
419,CLOSED,-
420,CLOSED,-
421,CLOSED,-
422,CLOSED,-
423,CLOSED,-
424,CLOSED,-
425,CLOSED,-
426,CLOSED,-
427,CLOSED,-
428,CLOSED,-
429,CLOSED,-
430,CLOSED,-
431,CLOSED,-
432,CLOSED,-
433,CLOSED,-
434,CLOSED,-
435,CLOSED,-
436,CLOSED,-
437,CLOSED,-
438,CLOSED,-
439,CLOSED,-
440,CLOSED,-
441,CLOSED,-
442,CLOSED,-
443,CLOSED,-
444,CLOSED,-
445,CLOSED,-
446,CLOSED,-
447,CLOSED,-
448,CLOSED,-
449,CLOSED,-
450,CLOSED,-
451,CLOSED,-
452,CLOSED,-
453,CLOSED,-
454,CLOSED,-
455,CLOSED,-
456,CLOSED,-
457,CLOSED,-
458,CLOSED,-
459,CLOSED,-
460,CLOSED,-
461,CLOSED,-
462,CLOSED,-
463,CLOSED,-
464,CLOSED,-
465,CLOSED,-
466,CLOSED,-
467,CLOSED,-
468,CLOSED,-
469,CLOSED,-
470,CLOSED,-
471,CLOSED,-
472,CLOSED,-
473,CLOSED,-
474,CLOSED,-
475,CLOSED,-
476,CLOSED,-
477,CLOSED,-
478,CLOSED,-
479,CLOSED,-
480,CLOSED,-
481,CLOSED,-
482,CLOSED,-
483,CLOSED,-
484,CLOSED,-
485,CLOSED,-
486,CLOSED,-
487,CLOSED,-
488,CLOSED,-
489,CLOSED,-
490,CLOSED,-
491,CLOSED,-
492,CLOSED,-
493,CLOSED,-
494,CLOSED,-
495,CLOSED,-
496,CLOSED,-
497,CLOSED,-
498,CLOSED,-
499,CLOSED,-
500,CLOSED,-
501,CLOSED,-
502,CLOSED,-
503,CLOSED,-
504,CLOSED,-
505,CLOSED,-
506,CLOSED,-
507,CLOSED,-
508,CLOSED,-
509,CLOSED,-
510,CLOSED,-
511,CLOSED,-
512,CLOSED,-
513,CLOSED,-
514,CLOSED,-
515,CLOSED,-
516,CLOSED,-
517,CLOSED,-
518,CLOSED,-
519,CLOSED,-
520,CLOSED,-
521,CLOSED,-
522,CLOSED,-
523,CLOSED,-
524,CLOSED,-
525,CLOSED,-
526,CLOSED,-
527,CLOSED,-
528,CLOSED,-
529,CLOSED,-
530,CLOSED,-
531,CLOSED,-
532,CLOSED,-
533,CLOSED,-
534,CLOSED,-
535,CLOSED,-
536,CLOSED,-
537,CLOSED,-
538,CLOSED,-
539,CLOSED,-
540,CLOSED,-
541,CLOSED,-
542,CLOSED,-
543,CLOSED,-
544,CLOSED,-
545,CLOSED,-
546,CLOSED,-
547,CLOSED,-
548,CLOSED,-
549,CLOSED,-
550,CLOSED,-
551,CLOSED,-
552,CLOSED,-
553,CLOSED,-
554,CLOSED,-
555,CLOSED,-
556,CLOSED,-
557,CLOSED,-
558,CLOSED,-
559,CLOSED,-
560,CLOSED,-
561,CLOSED,-
562,CLOSED,-
563,CLOSED,-
564,CLOSED,-
565,CLOSED,-
566,CLOSED,-
567,CLOSED,-
568,CLOSED,-
569,CLOSED,-
570,CLOSED,-
571,CLOSED,-
572,CLOSED,-
573,CLOSED,-
574,CLOSED,-
575,CLOSED,-
576,CLOSED,-
577,CLOSED,-
578,CLOSED,-
579,CLOSED,-
580,CLOSED,-
581,CLOSED,-
582,CLOSED,-
583,CLOSED,-
584,CLOSED,-
585,CLOSED,-
586,CLOSED,-
587,CLOSED,-
588,CLOSED,-
589,CLOSED,-
590,CLOSED,-
591,CLOSED,-
592,CLOSED,-
593,CLOSED,-
594,CLOSED,-
595,CLOSED,-
596,CLOSED,-
597,CLOSED,-
598,CLOSED,-
599,CLOSED,-
600,CLOSED,-
601,CLOSED,-
602,CLOSED,-
603,CLOSED,-
604,CLOSED,-
605,CLOSED,-
606,CLOSED,-
607,CLOSED,-
608,CLOSED,-
609,CLOSED,-
610,CLOSED,-
611,CLOSED,-
612,CLOSED,-
613,CLOSED,-
614,CLOSED,-
615,CLOSED,-
616,CLOSED,-
617,CLOSED,-
618,CLOSED,-
619,CLOSED,-
620,CLOSED,-
621,CLOSED,-
622,CLOSED,-
623,CLOSED,-
624,CLOSED,-
625,CLOSED,-
626,CLOSED,-
627,CLOSED,-
628,CLOSED,-
629,CLOSED,-
630,CLOSED,-
631,CLOSED,-
632,CLOSED,-
633,CLOSED,-
